Individual	Exon2711_k_alleles.fasta	Exon99029792_k_alleles.fasta	UCE111109_k_alleles.fasta
18Oki24	9	1	3
18Oki21	8	1	4
18Oki04	7	1	5
18Oki22	3	1	6
18Oki34	2	3	1
18Oki17	2	3	1
18Oki09	1	2	2
18Oki19	6	1	3
18Oki05	6	1	4
18Oki03	5	1	3
18Oki02	5	1	4
18Oki29	4	2	2
18Oki28	4	2	2
18Oki11	4	2	2
18Oki36	2	3	1
18Oki35	2	3	1
18Oki33	2	3	1
18Oki16	2	3	1
18Oki23	3	1	4
18Oki20	3	1	3
18Oki06	3	1	3
18Oki01	3	1	4
18Oki32	2	3	1
18Oki31	2	3	1
18Oki18	2	3	1
18Oki15	2	3	1
18Oki14	2	3	1
18Oki13	2	3	1
18Oki30	1	2	2
18Oki27	1	2	2
18Oki26	1	2	2
18Oki25	1	2	2
18Oki12	1	2	2
18Oki10	1	2	2
18Oki08	1	2	2
18Oki07	1	2	2
